lat,lon,total_cost_0,total_cost_2020,total_cost_2050,total_cost_future_2030,total_cost_future_2040,total_cost_future_2050,pop,Country
11.784653,97.461776,78473.37743361494,78473.37743364261,78473.37743363493,78473.37743365014,78473.37743364103,78473.37743363818,151.0,Myanmar
11.788935,124.323369,261632.32125274965,261632.32125245838,261632.32125272282,261631.9783507335,261630.71956913662,261613.73173091165,6253.0,Philippines
11.800219,97.500776,81582.74208778239,81582.74208781669,81582.74208777727,81582.7420877322,81582.74208775905,81582.74208779808,157.0,Myanmar
11.817852,102.480827,137183.030125276,137183.03012751215,137182.9934043701,132268.03937865212,131200.47036830487,130147.55059895311,247.0,Thailand
11.827791,119.967654,273181.94381935574,273181.94381957216,273181.94381970493,273181.943819691,273181.943819322,273181.48391083605,14795.0,Philippines
11.829892,98.274404,32485.01065907953,32485.010659039493,32485.010659066433,32485.010659103245,32485.010659092713,32485.01065904322,61.0,Myanmar
11.831026,93.044423,264049.1043839705,264049.10438445274,264049.1043844527,264025.48333627364,264010.216160309,263979.11053882306,2151.0,India
11.846131,98.419833,38751.45610622545,38751.45610625712,38751.45610617297,38747.79844858448,38746.52409993937,38745.25258134641,72.0,Myanmar
11.847607,121.473314,264909.0947890603,264909.0947890838,264909.0947891739,264881.9889932105,264870.0499967061,264855.9228214492,8257.0,Philippines
11.849678,-64.600849,185832.6331161922,185832.63311613808,185832.63311630022,184388.29786797587,182896.2810876379,181336.00093000333,1532.0,Venezuela
11.851999,92.670634,263322.00932174496,263322.0093216856,263322.0093217858,263322.00589697296,263299.9114926704,263248.88833991205,198667.0,India
11.865955,97.660123,53689.90379413246,53689.90379418845,53689.903794189464,53689.90379414374,53689.15059095599,53686.99735772303,103.0,Myanmar
11.887296,98.266604,32503.48051795265,32503.480517978413,32503.480517952612,32503.479657556672,32503.445318125865,32503.195208713914,61.0,Myanmar
11.904596,124.441305,260718.0961324529,260718.09613245307,260718.09613227326,260709.53207089158,260696.83997977528,260678.39735482348,9086.0,Philippines
11.911195,120.246611,271463.05825876864,271463.0582587682,271463.0582586096,271463.0582585254,271463.0582587662,271463.0582587762,1597.0,Philippines
11.922918,121.559125,266143.78599388053,266143.7859939089,266143.78599386377,265974.50857898436,265898.79913251137,265814.4726658618,8074.0,Philippines
11.926621,124.306906,262105.29206942732,262105.2920697534,262105.29206956027,262105.24714156167,262100.13271295038,262061.4315877496,7819.0,Philippines
11.93769,125.053932,249979.6366331866,322583.64107209863,324408.57697859325,319681.56733420934,318838.5402797355,312273.6206244644,1624989.0,Philippines
11.958059,98.250022,31439.239716356664,31439.239716375938,31439.23971635707,31439.209478965076,31439.116081709755,31438.770721402172,59.0,Myanmar
